resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
DXME-KADX-KALI_KAMEME,Maszyny do kruszenia szyn kolejowych,Equipment,Prace górnicze,Masz.-godz.,1937.68800788277,1937.6880078827703,1937.6880078827703,1937.6880078827703,147,PLN,1930.438154792052,0.9962585034013605,147,147,Prace górnicze,RI,PRACE ZIEMNE Z UŻYCIEM ŁYŻEK JEDNOŁYŻKOWYCH,WYKOPY I ZAŁADUNEK ZIEMI Z UŻYCIEM KOPAREK W TRANSPORCIE KOLEJOWYM
DXME-KADX-KALI_KAMENE,"Maszyny do czyszczenia żwiru, wydajność 800-1200 m3/h, samojezdne",Equipment,Koleje,Masz.-godz.,6956.742188772091,6956.74218877209,6956.74218877209,6956.74218877209,7,PLN,38450.90789765603,5.527142857142857,7,7,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,DOGŁĘBNE CZYSZCZENIE LUB WYMIANA ŻWIROWEGO ŁÓŻKA
DXME-KADX-KALI_KAMEPU,"Maszyny do czyszczenia żwiru, wydajność 400-600 m3/h, nie samobieżne",Equipment,Koleje,Masz.-godz.,1859.24890313877,1859.2489031387702,1859.2489031387702,1859.2489031387702,18,PLN,27494.159613193217,14.787777777777778,18,18,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,WYMIANA ZWROTNIC
DXME-KADX-KALI_KAMERI,Samojezdne maszyny do wycinania żwiru,Equipment,Koleje,Masz.-godz.,7033.6585343653205,7033.6585343653205,7033.6585343653205,7033.6585343653205,7,PLN,59253.54911021756,8.424285714285714,7,7,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,DOGŁĘBNE CZYSZCZENIE LUB WYMIANA ŻWIROWEGO ŁÓŻKA
DXME-KADX-KALI_KAMESA,"Maszyny do czyszczenia żwiru, wydajność 600-800 m3/h, nie samobieżne",Equipment,Koleje,Masz.-godz.,1959.7049841454798,1959.7049841454798,1959.7049841454798,1959.7049841454798,22,PLN,6706.644920741508,3.422272727272727,22,22,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,WYMIANA ZWROTNIC
DXME-KADX-KALI_KAMETO,"Maszyny obrotowe do wycinania kruszywa na końcach podkładów, nie samobieżne",Equipment,Koleje,Masz.-godz.,1242.7215418460698,1242.72154184607,1242.72154184607,1242.72154184607,30,PLN,2164.820925895854,1.7419999999999995,30,30,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,WYMIANA SZYN
DXME-KADX-KALI_KAMEVO,"Maszyny do czyszczenia żwiru, wydajność do 600 m3/h, samojezdne",Equipment,Koleje,Masz.-godz.,6080.495347881242,6080.49534788124,6080.49534788124,6080.49534788124,38,PLN,53082.72438700323,8.729999999999999,38,38,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,WYMIANA ZWROTNIC
DXME-KADX-KALI_KARIME,Planer żwirowy,Equipment,Koleje,Masz.-godz.,2083.2785900784006,2083.2785900784,2083.2785900784,2083.2785900784,108,PLN,5921.333599966358,2.8423148148148147,108,108,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,BALASTOWANIE TORÓW I ROZGAŁĘZIEŃ
DXME-KADX-KALI_SAKAME,"Wózki zasypowe, pojemność ładunkowa do 41 m3, nośność do 71 t",Equipment,Koleje,Masz.-godz.,62.248515664500005,62.248515664500005,62.248515664500005,62.248515664500005,2,PLN,34.5479261937975,0.555,2,2,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,INNE PRACE
DXME-KADX-KALI_SAKAPU,"Maszyny do czyszczenia żwiru, wydajność 1000-2000 m3/h, samojezdne",Equipment,Koleje,Masz.-godz.,14383.04246931552,14383.04246931552,14383.04246931552,14383.04246931552,7,PLN,80421.75460700133,5.591428571428572,7,7,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,DOGŁĘBNE CZYSZCZENIE LUB WYMIANA ŻWIROWEGO ŁÓŻKA
DXME-KADX-KALI_SAKASA,"Maszyny do przetwarzania (recyklingu) żwiru balastowego do renowacji głównego obszaru podkładu torowego przy rekonstrukcji (modernizacji) torów, wydajność 300-500 m3/h, głębokość cięcia do 1200 mm, samobieżne",Equipment,Koleje,Masz.-godz.,34769.4538361742,34769.4538361742,34769.4538361742,34769.4538361742,2,PLN,1108450.1882972335,31.88,2,2,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,DOGŁĘBNE CZYSZCZENIE LUB WYMIANA ŻWIROWEGO ŁÓŻKA
DXME-KADX-KALI_SAKATO,"Maszyny do czyszczenia żwiru, wydajność 1200-1600 m3/h, nie samojezdne",Equipment,Koleje,Masz.-godz.,8419.207280762852,8419.207280762852,8419.207280762852,8419.207280762852,7,PLN,48109.75589007345,5.714285714285714,7,7,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,DOGŁĘBNE CZYSZCZENIE LUB WYMIANA ŻWIROWEGO ŁÓŻKA
DXME-KADX-KAME_KAKALI,"Wózek montażowy do prac przy sieci trakcyjnej z manipulatorem dźwigowym i modułem do pozycjonowania przewodów, wysokość zawieszenia do 10,5 m",Equipment,"Wyposażenie dla sieci sygnalizacyjnych, centralizacyjnych, blokad i kontaktowych w ruchu kolejowym",Masz.-godz.,666.7604042899801,666.76040428998,666.76040428998,666.76040428998,72,PLN,1881.9312411084684,2.8225,72,72,"Wyposażenie dla sieci sygnalizacyjnych, centralizacyjnych, blokad i kontaktowych w ruchu kolejowym",RIKA,PRACE PRZY REMONCIE I PODSTAWOWYM UTRZYMANIU ISTNIEJĄCYCH SIECI KONTAKTOWYCH W TRANSPORCIE KOLEJOWYM,PRACE PRZY PRZEBUDOWIE I PODSTAWOWEJ ODBUDOWIE ISTNIEJĄCEJ SIECI KONTAKTOWEJ DLA ORGANIZACJI RUCHU KOLEJOWEGO Z PRĘDKOŚCIĄ PONAD 160 KM/H DO 250 KM/H
DXME-KADX-KAME_KAKASA,"Maszyny na szynach do prac montażowych w sieci trakcyjnej, siła ciągu przy rozwijaniu drutów 20-36 kN, prędkość ruchu technologicznego do 5 km/h",Equipment,"Wyposażenie dla sieci sygnalizacyjnych, centralizacyjnych, blokad i kontaktowych w ruchu kolejowym",Masz.-godz.,612.4773422110201,612.4773422110201,612.4773422110201,612.4773422110201,16,PLN,1051.929835247427,1.7175,16,16,"Wyposażenie dla sieci sygnalizacyjnych, centralizacyjnych, blokad i kontaktowych w ruchu kolejowym",RIKA,PRACE PRZY REMONCIE I PODSTAWOWYM UTRZYMANIU ISTNIEJĄCYCH SIECI KONTAKTOWYCH W TRANSPORCIE KOLEJOWYM,PRACE PRZY PRZEBUDOWIE I PODSTAWOWEJ ODBUDOWIE ISTNIEJĄCEJ SIECI KONTAKTOWEJ DLA ORGANIZACJI RUCHU KOLEJOWEGO Z PRĘDKOŚCIĄ PONAD 160 KM/H DO 250 KM/H
DXME-KADX-KAME_KAKATO,"Maszyny na szynach do prac montażowych przy sieci kontaktowej, siła ciągu przy rozwijaniu drutów do 35 kN, prędkość ruchu technologicznego do 5 km/h",Equipment,"Wyposażenie dla sieci sygnalizacyjnych, centralizacyjnych, blokad i kontaktowych w ruchu kolejowym",Masz.-godz.,1092.1484757011401,1092.1484757011401,1092.1484757011401,1092.1484757011401,8,PLN,1679.178281390503,1.5375,8,8,"Wyposażenie dla sieci sygnalizacyjnych, centralizacyjnych, blokad i kontaktowych w ruchu kolejowym",RIKA,PRACE PRZY REMONCIE I PODSTAWOWYM UTRZYMANIU ISTNIEJĄCYCH SIECI KONTAKTOWYCH W TRANSPORCIE KOLEJOWYM,PRACE PRZY PRZEBUDOWIE I PODSTAWOWEJ ODBUDOWIE ISTNIEJĄCEJ SIECI KONTAKTOWEJ DLA ORGANIZACJI RUCHU KOLEJOWEGO Z PRĘDKOŚCIĄ PONAD 160 KM/H DO 250 KM/H
DXME-KADX-KAME_KAMEME,"Pojazd trakcyjny do pracy w sieci kontaktowej z izolowaną platformą montażową i urządzeniem dźwigowym, wyposażony w zdejmowane gondole",Equipment,Koleje,Masz.-godz.,522.61654333746,522.61654333746,522.61654333746,522.61654333746,388,PLN,10957.691635507548,20.966981958762887,388,388,Koleje,RIVO,ELEKTRYFIKACJA KOLEI,KONSTRUKCJE SIECI KONTAKTOWEJ
DXME-KADX-KAME_KAMERI,Wóz montażowy bez urządzenia dźwigowego,Equipment,Koleje,Masz.-godz.,491.18087151276,491.18087151276006,491.18087151276006,491.18087151276006,15,PLN,896.2413635536162,1.8246666666666664,15,15,Koleje,RIVO,ELEKTRYFIKACJA KOLEI,DEMONTAŻ SŁUPÓW I KONSTRUKCJI SIECI ZASILAJĄCEJ
DXME-KADX-KANE_KAKAPU,Maszyny do montażu sieci kontaktowych podczas prac „w terenie”,Equipment,Koleje,Masz.-godz.,213.82459933262996,213.82459933262996,213.82459933262996,213.82459933262996,6,PLN,1842.0989232506072,8.615,6,6,Koleje,RIVO,ELEKTRYFIKACJA KOLEI,KONSTRUKCJE SIECI KONTAKTOWEJ
DXME-KADX-KANE_KAKASA,"Maszyny do montażu sieci kontaktowych podczas prac „z toru” z manipulatorem dźwigowym, nośność do 10 t",Equipment,Koleje,Masz.-godz.,737.3796105304201,737.3796105304201,737.3796105304201,737.3796105304201,6,PLN,157.30765024648963,0.21333333333333335,6,6,Koleje,RIVO,ELEKTRYFIKACJA KOLEI,KONSTRUKCJE SIECI KONTAKTOWEJ
DXME-KADX-KAPU_KAKAME,"Szerokotorowe uniwersalne dźwigi, nośność urządzenia dźwigowego 1 t",Equipment,Koleje,Masz.-godz.,169.21035751191002,169.21035751191002,169.21035751191002,169.21035751191002,25,PLN,1001.7930006135122,5.920400000000001,25,25,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,ZAKŁADANIE BEZSTOPNIOWEJ TRASY
DXME-KADX-KAPU_KAKARI,"Szerokotorowe wagony towarowe z uniwersalnym dźwigiem, nośność urządzenia dźwigowego 3,5 t",Equipment,Prace górnicze,Masz.-godz.,185.54850267096003,185.54850267096003,185.54850267096003,185.54850267096003,593,PLN,433.6859884604228,2.337318718381113,593,593,Prace górnicze,RI,PRACE ZIEMNE Z UŻYCIEM ŁYŻEK JEDNOŁYŻKOWYCH,WYKOPY I ZAŁADUNEK ZIEMI Z UŻYCIEM KOPAREK W TRANSPORCIE KOLEJOWYM
DXME-KADX-KARI_KAKADX,"Wózki odporne na przechył, pojemność 3,3 m3",Equipment,Prace budowlane tuneli,Masz.-godz.,2.7589838453099995,2.75898384531,2.75898384531,2.75898384531,180,PLN,46.273677053539316,16.772000000000002,180,180,Prace budowlane tuneli,TOSA,"PRACE GÓRNICZE, KTÓRE SĄ WYKONYWANE W ZWYKŁY SPOSÓB",PRZEJŚCIE PRZEZ SKOSY SZACHTÓW
DXME-KADX-KARI_KAKANE,"Wózki odporne na przechył, pojemność 1 m3",Equipment,Tunele i metro,Masz.-godz.,0.9810485289000004,0.9810485289,0.9810485289,0.9810485289,124,PLN,39.58625754291717,40.35096774193549,124,124,Tunele i metro,RIDX,ZAMKNIĘTA FORMA PRACY,PRACE TUNELARNE I KOPALNIANE
DXME-KADX-KARI_KAKARI,"Wózki odporne na przechył, pojemność 1,4 m3",Equipment,Prace ziemne,Masz.-godz.,1.0980858972599998,1.0980858972599996,1.0980858972599996,1.0980858972599996,159,PLN,218.5682657030952,199.04477987421382,159,159,Prace ziemne,ME,"INNE RODZAJE PRAC, PRZYGOTOWAWCZE, TOWARZYSZĄCE I WZMACNIAJĄCE PRACE",WZMOCNIENIE SKARP BUDOWLI ZIEMNYCH
DXME-KADX-KARI_KAKASA,Wózki z szerokim rozstawem szyn,Equipment,Koleje,Masz.-godz.,2.4646692866400004,2.4646692866400004,2.4646692866400004,2.4646692866400004,16,PLN,2641.7049410810473,1071.829375,16,16,Koleje,RIVO,"SYGNALIZACJA, CENTRALIZACJA I BLOKADA KOLEI",OCHRONA KABLI
DXME-KADX-KARI_KAKATO,"Wózek kiprowy, pojemność 0,8 m3",Equipment,Tunele i metro,Masz.-godz.,1.2323346433200004,1.2323346433200002,1.2323346433200002,1.2323346433200002,38,PLN,87.43673733227679,70.95210526315788,38,38,Tunele i metro,RIDX,ZAMKNIĘTA FORMA PRACY,ROZBUDOWA
DXME-KADX-KARI_KAKAVO,"Wózki o dużej stabilności, pojemność 2,5 m3",Equipment,Prace budowlane tuneli,Masz.-godz.,1.5834467484000003,1.5834467484,1.5834467484,1.5834467484,2892,PLN,133.41574665974917,84.25654149377594,2892,2892,Prace budowlane tuneli,TOSA,"PRACE GÓRNICZE, KTÓRE SĄ WYKONYWANE W ZWYKŁY SPOSÓB","PRZEJŚCIE POŁĄCZEŃ WERTYKALNYCH STUDNI Z OTACZAJĄCYMI DZIEDZIŃCAMI, KOMORAMI URZĄDZEŃ DOSTAWCZYCH W STUDNIACH WERTYKALNYCH I SKOSNYCH, PODZIEMNYMI BUNKRAMI, KOMORAMI INSTALACJI ROZDRABNIAJĄCYCH, URZĄDZENIAMI DOSTAWCZYMI I PRZENOSNIKAMI"
DXME-KADX-KASA_KAMEME,"Lokomotywy spalinowe do górnictwa, siła ciągu (masa sprzęgła) 30 t",Equipment,Tunele i metro,Masz.-godz.,480.50354847924007,480.50354847924007,480.50354847924007,480.50354847924007,1,PLN,2883.02129087544,6.0,1,1,Tunele i metro,RIDX,PROCESY UTRZYMANIA,PODZIEMNE MECHANICZNE POWROTY
DXME-KADX-KASA_KARIRI,"Lokomotywy manewrowe szerokotorowe, moc 550 kW (750 KM)",Equipment,Prace ziemne,Masz.-godz.,931.5083907815402,931.50839078154,931.50839078154,931.50839078154,1032,PLN,2189.0230553507868,2.349976744186046,1032,1032,Prace ziemne,ME,"MECHANIZOWANE PRACE ZIEMNE (Z UŻYCIEM KOPAREK, SPYCHACZY, BULDOŻERÓW, GRADEK, METOD HYDROMECHANICZNYCH ITD.)",WYKOPYWANIE ROWÓW I NAWALANIE PLATFORMS DLA KOLEI I DRÓG
DXME-KADX-KASA_KARITO,"Lokomotywy manewrowe szerokotorowe, moc 880 kW (1200 KM)",Equipment,Prace ziemne,Masz.-godz.,1566.5329736113201,1566.5329736113204,1566.5329736113204,1566.5329736113204,458,PLN,14400.313315390003,9.192473799126638,458,458,Prace ziemne,ME,"INNE RODZAJE PRAC, PRZYGOTOWAWCZE, TOWARZYSZĄCE I WZMACNIAJĄCE PRACE",NAPEŁNIENIA NA BAGNACH
DXME-KADX-KASA_KATOME,Lokomotywy elektryczne do górnictwa,Equipment,Tunele i metro,Masz.-godz.,52.782257929500005,20.530514928000002,85.03400093100001,52.782257929500005,2,PLN,316.693547577,6.0,2,1,Tunele i metro,RIDX,PROCESY UTRZYMANIA,PODZIEMNE MECHANICZNE POWROTY
DXME-KADX-KASA_SAMELI,"Dwuczęściowe wagony szerokotorowe do transportu dalekobieżnego, moc 5300 kW (7200 KM)",Equipment,Koleje,Masz.-godz.,7177.854533198581,7177.854533198581,7177.854533198581,7177.854533198581,21,PLN,72752.68273291989,10.135714285714286,21,21,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KATO_KAKAME,"Wywrotka (Dumper), nośność 136 t",Equipment,Prace górnicze,Masz.-godz.,147.70753967376,147.70753967376,147.70753967376,147.70753967376,88,PLN,12449.714615827455,84.28625,88,88,Prace górnicze,RI,PRACE ZIEMNE Z UŻYCIEM ŁYŻEK JEDNOŁYŻKOWYCH,WYKOPY I ZAŁADUNEK ZIEMI Z UŻYCIEM KOPAREK W TRANSPORCIE KOLEJOWYM
DXME-KADX-KATO_KARIPU,Wózek szerokotorowy 20 t,Equipment,Koleje,Masz.-godz.,7.83088300071,7.830883000710001,7.830883000710001,7.830883000710001,98,PLN,118.59712490636507,15.144795918367347,98,98,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KATO_KATOLI,Platformy szerokotorowe z przenośnikiem rolkowym,Equipment,Prace ziemne,Masz.-godz.,49.7001619521,49.700161952100004,49.700161952100004,49.700161952100004,198,PLN,3328.901284874684,66.97968686868687,198,198,Prace ziemne,ME,"MECHANIZOWANE PRACE ZIEMNE (Z UŻYCIEM KOPAREK, SPYCHACZY, BULDOŻERÓW, GRADEK, METOD HYDROMECHANICZNYCH ITD.)",WYKOPYWANIE ROWÓW I NAWALANIE PLATFORMS DLA KOLEI I DRÓG
DXME-KADX-KATO_KATOME,Platformy silnikowe dla układarek torów,Equipment,Koleje,Masz.-godz.,754.6842375157803,754.6842375157802,754.6842375157802,754.6842375157802,89,PLN,15326.873700109807,20.308988764044944,89,89,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,UKŁADANIE I DEMONTAŻ TORÓW
DXME-KADX-KATO_KATONE,"Platformy szerokotorowe, nośność 200 t",Equipment,Wyposażenie dla elektrowni jądrowych,Masz.-godz.,31.84638007419,31.84638007419,31.84638007419,31.84638007419,9,PLN,8.3508285527876,0.2622222222222222,9,9,Wyposażenie dla elektrowni jądrowych,METO,ELEKTROWNIE JĄDROWE,WYPOSAŻENIE W WYSOKOWYDOLNY REAKTOR WODOROWY Z GOTUJĄCYM KANAŁEM (RBMK)
DXME-KADX-KATO_KATOPU,Wąskotorowe platformy,Equipment,Prace ziemne,Masz.-godz.,22.62255089094001,22.622550890940005,22.622550890940005,22.622550890940005,217,PLN,1914.23372774047,84.61617511520738,217,217,Prace ziemne,ME,"INNE RODZAJE PRAC, PRZYGOTOWAWCZE, TOWARZYSZĄCE I WZMACNIAJĄCE PRACE",PRACE PRZYGOTOWAWCZE W ZWIĄZKU Z WYCINKĄ DRZEW I WYCINKĄ POWIERZCHNI I TRAS
DXME-KADX-KATO_KATORI,Ruchome wózki do transportu tuneli,Equipment,Tunele i metro,Masz.-godz.,0.2860167156,0.2860167156,0.2860167156,0.2860167156,7,PLN,7.980683555855999,27.90285714285714,7,7,Tunele i metro,RIDX,ZAMKNIĘTA FORMA PRACY,ROZBUDOWA
DXME-KADX-KATO_KATOSA,"Platformy szerokotorowe, nośność 73 t",Equipment,Prace ziemne,Masz.-godz.,29.62082300067,29.620823000670004,29.620823000670004,29.620823000670004,2608,PLN,482.71294804174613,16.296405674846625,2608,2608,Prace ziemne,ME,"MECHANIZOWANE PRACE ZIEMNE (Z UŻYCIEM KOPAREK, SPYCHACZY, BULDOŻERÓW, GRADEK, METOD HYDROMECHANICZNYCH ITD.)",WYKOPYWANIE ROWÓW I NAWALANIE PLATFORMS DLA KOLEI I DRÓG
DXME-KADX-KATO_KATOTO,Wózek platformowy do tunelu stacyjnego,Equipment,Tunele i metro,Masz.-godz.,0.617090859,0.617090859,0.617090859,0.617090859,3,PLN,2.13102043308,3.453333333333333,3,3,Tunele i metro,RIDX,SPOSÓB BUDOWY,BUDOWA ODCINKA TUNELU
DXME-KADX-KAVO_KAKAME,Pociągi do transportu bloków zwrotnicowych,Equipment,Koleje,Masz.-godz.,1544.6567808210002,1544.6567808210002,1544.6567808210002,1544.6567808210002,65,PLN,5122.319524707178,3.316153846153846,65,65,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,"MONTAŻ, DEMONTAŻ I UKŁADANIE ŁUKÓW, PRZEJŚĆ ŚLEPYCH I KRZYŻOWAŃ"
DXME-KADX-KAVO_KAMEME,"Specjalny wózek do transportu jednowarstwowych szyn, długość szyn do 800 m, liczba szyn do 12",Equipment,Koleje,Masz.-godz.,3119.345316780001,3119.3453167800003,3119.3453167800003,3119.3453167800003,15,PLN,2248.00819162612,0.7206666666666666,15,15,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,ZAKŁADANIE BEZSTOPNIOWEJ TRASY
DXME-KADX-MEKA_KAKALI,Maszyny do podbijania podkładów z pneumatycznymi podbijakami,Equipment,Prace górnicze,Masz.-godz.,385.7523115446001,385.75231154460005,385.75231154460005,385.75231154460005,88,PLN,362.1249824624933,0.93875,88,88,Prace górnicze,RI,PRACE ZIEMNE Z UŻYCIEM ŁYŻEK JEDNOŁYŻKOWYCH,WYKOPY I ZAŁADUNEK ZIEMI Z UŻYCIEM KOPAREK W TRANSPORCIE KOLEJOWYM
DXME-KADX-MEKA_KAKAME,"Maszyny do prostowania, podkładania i obróbki",Equipment,Koleje,Masz.-godz.,4135.6077507416085,4135.60775074161,4135.60775074161,4135.60775074161,22,PLN,4761.588378467499,1.1513636363636366,22,22,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,WYRÓWNANIE TORÓW I ROZJAZDÓW
DXME-KADX-MEKA_KAKANE,"Maszyny do prostowania, podpierania i wyrównywania o wydajności do 2000 belek/godzinę",Equipment,Koleje,Masz.-godz.,3646.6419835388406,3646.6419835388406,3646.6419835388406,3646.6419835388406,127,PLN,16453.820912025683,4.5120472440944885,127,127,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,BALASTOWANIE TORÓW I ROZGAŁĘZIEŃ
DXME-KADX-MEKA_KAKAPU,"Maszyny do prostowania, podkładania i wyrównywania zwrotnic, wydajność do 1200 podkładów/godzinę",Equipment,Koleje,Masz.-godz.,2723.9459860555808,2723.94598605558,2723.94598605558,2723.94598605558,111,PLN,2544.312791299482,0.934054054054054,111,111,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,"MONTAŻ, DEMONTAŻ I UKŁADANIE ŁUKÓW, PRZEJŚĆ ŚLEPYCH I KRZYŻOWAŃ"
DXME-KADX-MEKA_KAKASA,"Maszyny do prostowania, podkładania i wyrównywania, wydajność 2200-2400 podkładów/godzinę",Equipment,Koleje,Masz.-godz.,5164.858869824936,5164.858869824936,5164.858869824936,5164.858869824936,9,PLN,7006.991866729162,1.3566666666666667,9,9,Koleje,RIVO,PODBUDOWA TORÓW KOLEJOWYCH O SZEROKOŚCI TORU 1520 MM,WYRÓWNANIE TORÓW I ROZJAZDÓW
